,x,y,z,img
196,-94.11275,-28.14794,-153.86113,Hotel Opportunity_2012
197,153.57886,-12.762995,-103.86737,Mission Interlude_2012
198,114.01818,-35.330128,99.66342,Multi Story Building_2012
199,48.834034,-140.89008,-97.29414,Timeport_2012
200,30.177425,-151.12012,4.005541,Hollywood_2013
201,-3.9365578,162.53116,25.14705,Megalopolis_2013
202,-65.14536,-178.76941,-18.422132,Paramount_2013
203,66.28498,-120.65389,57.16895,Thriller_2013
204,94.50746,74.134254,-117.881615,Capital no Capital_2013
205,-161.57246,59.048332,72.32963,California_2013
206,11.794146,56.17009,-121.08118,Levante_2013
207,-43.322514,-89.25961,135.51456,Propitious Grounds_2013
208,-16.554157,118.07518,119.87731,The Strip_2013
209,73.86093,32.574764,-90.74683,Treasure Gathering Square_2013
210,46.236702,140.03271,-53.854073,The Crossroads_2014
211,70.728516,88.0963,-54.3175,The Deal_2015
212,140.87106,-5.7220416,32.889233,Panacea_2015
213,-45.113926,37.960102,-152.61272,Wonderland_2015
214,-168.30638,53.469547,-48.75472,Momentum_2016
215,94.28969,-5.909605,-103.617035,The Next Level_2016
216,-21.59323,67.4766,137.44012,UN_2016
217,64.956795,-124.10536,114.53991,Entracte_2016
218,83.37336,113.115204,-9.039994,Performance_2017
219,27.933361,0.9129456,-85.11112,The Valley Continuum_2018
